image_id,gray_area_mm2,cgp_count,cgp_density_mm2,cgp_mean_score,cgp_mean_area_mm2,ccp_count,ccp_density_mm2,ccp_mean_score,ccp_mean_area_mm2,caa 1_count,caa 1_density_mm2,caa 1_mean_score,caa 1_mean_area_mm2,caa 2_count,caa 2_density_mm2,caa 2_mean_score,caa 2_mean_area_mm2,total_pathology_count,total_pathology_density_mm2
AF-20-36-B-22_H02IBC427P-185953_level-0,205.93375372702997,170,0.8255081885475609,0.83805704,0.0023710920112442,6,0.029135583125208,0.742253,0.0008977376771099,299,1.4519232257395336,0.78279513,0.0002702306113906,1088,5.283252406704389,0.87873805,0.0027896402594396,1563,7.589819404116692
H02N23498P12-197768_H02N23498P12-197768_level-0,186.06534932352423,15,0.080616837334492,0.65214986,0.0114234585194193,0,0.0,0.0,0.0,4,0.0214978232891978,0.71206826,0.0001372183381058,20,0.1074891164459894,0.7323245,0.0293828789110965,39,0.2096037770696794
H02P23TB518P-231971_level-0,125.3507284941697,7,0.0558433132706171,0.6889019,0.0060181704116728,2,0.0159552323630334,0.69249415,0.0017219728651821,8,0.0638209294521339,0.6535061,0.0001971366160675,22,0.1755075559933683,0.7553623,0.016450306936085,39,0.3111270310791529
H02P23TB521P-215519_level-0,166.38761458659303,0,0.0,0.0,0.0,1,0.0060100627230253,0.88187987,0.0004344048909193,45,0.270452822536143,0.7776876,0.000440168406318,17,0.1021710662914317,0.7834332,0.000888921658478,63,0.3786339515506001
NA00-118_H02IBC428P-233028_level-0,158.50417689105154,190,1.1987065812820643,0.76568234,0.0028811209986032,77,0.4857916145195735,0.7580363,0.0007468951682829,11619,73.30406193640161,0.87731326,0.0003406283062536,2425,15.299281366363193,0.8479339,0.0137637812918289,14311,90.28784149856644
NA00-118_H02IBC428P-233029_level-0,136.00805464152413,97,0.713193055041207,0.82753664,0.0018492271643471,9,0.0661725514986686,0.84164244,0.0011333866497851,361,2.654254565668822,0.7616953,0.0002030968273554,255,1.8748889591289464,0.8016443,0.0299196917870709,722,5.308509131337644
NA00-118_H02IBC428P-233030_level-0,129.33796936963824,71,0.5489493947217255,0.8201339,0.0029648302111836,9,0.0695851345421905,0.73410463,0.0009150439496117,186,1.438092780538605,0.8122449,0.0003174649409813,276,2.133944125960511,0.8334196,0.0102420484931471,542,4.190571435763032
NA01-161_H02P23TB517P-193924_level-0,149.58470103704445,541,3.616680023086199,0.8458572,0.0025868573923613,62,0.4144808898915791,0.8495498,0.0016483634528753,78,0.5214437001861802,0.7251525,0.0002405754427757,77,0.5147585245427677,0.7741243,0.0167305102105195,758,5.067363137706726
NA01-161_H02P23TB517P-193925_level-0,124.55969091174056,1,0.0080282793950457,0.9773628,0.0026223298501941,0,0.0,0.0,0.0,4,0.0321131175801831,0.73044777,0.0002081050313198,28,0.2247918230612823,0.84688604,0.0100780940697121,33,0.2649332200365113
NA01-161_H02P23TB517P-193926_level-0,272.8969406279774,215,0.7878432037576246,0.7939071,0.0029032015121282,153,0.560651210115891,0.73898256,0.0011365973916516,944,3.4591813225451054,0.7791636,0.0001769304791522,355,1.300857382948636,0.8274141,0.0089959107100388,1667,6.108533119367257
NA03-222_H02N23499P12-212205_level-0,158.07515593338522,30,0.1897831434855099,0.84704864,0.0033742617288092,4,0.0253044191314013,0.8689699,0.0020871540709258,34,0.2150875626169112,0.7042934,0.0001762517505336,175,1.107068336998808,0.914479,0.0061512653748871,243,1.5372434622326303
NA04-001_H02N23TB509P-187801_level-0,55.27681286904358,3,0.0542723041414726,0.83116263,0.0029238359859998,1,0.0180907680471575,0.56504416,0.0012712379814471,8,0.1447261443772602,0.6767065,0.0001321081375378,14,0.2532707526602055,0.61798304,0.0568003077181787,26,0.4703599692260959
NA04-001_H02N23TB509P-187808_level-0,47.072390888312086,5,0.1062193762764976,0.74501187,0.0028922129219379,0,0.0,0.0,0.0,6,0.1274632515317971,0.60249543,8.678973439291504e-05,14,0.2974142535741934,0.6764654,0.0353974298530496,25,0.5310968813824881
