slide_id,gm_pixel_count,amyloid_pixel_count,gm_area_mm2,amyloid_area_mm2,amyloid_density_percent
AF-20-36-B-22_H02IBC427P-185953_level-0,2971740645.5127954,16552636.0,237.4994024535243,1.322875,0.5570014110444147
H02N23498P12-197768_H02N23498P12-197768_level-0,2452320114.74019,2380332.0,195.9876824227545,0.19023445,0.0970644941224896
H02N23TB509P-187635_level-0,2767358857.5584755,172277.0,221.1653550712845,0.013768256,0.0062253220926777
H02P23TB518P-231971_level-0,1569094866.0696552,26766.0,125.40094763893194,0.00213912,0.0017058243476731
H02P23TB521P-215519_level-0,2228076334.042191,812575.0,178.06627868245474,0.06494042,0.0364698039706717
NA00-118_H02IBC428P-233028_level-0,2757920083.382431,404447170.0,220.4110149406647,32.32313,14.664934767430193
NA00-118_H02IBC428P-233029_level-0,2222358815.770252,152765710.0,177.60933868159938,12.208928,6.8740350022372985
NA00-118_H02IBC428P-233030_level-0,1825336073.904802,29095656.0,145.87956303785933,2.3253043,1.5939890560182004
NA01-161_H02P23TB517P-193924_level-0,2382630911.978121,66862204.0,190.4181708173439,5.34358,2.806234166727859
NA01-161_H02P23TB517P-193925_level-0,2100179996.6989744,236498.0,167.8448942083844,0.018900754,0.0112608453294654
NA01-161_H02P23TB517P-193926_level-0,3758511931.557572,242738320.0,300.3776050266098,19.399475,6.45836266519859
NA03-222_H02N23499P12-212205_level-0,2107928912.091632,2870593.0,168.46418202483562,0.22941576,0.1361807339024834
NA04-001_H02N23TB509P-187801_level-0,1649388494.9491694,117320.0,131.8179574505062,0.009376132,0.0071129397775547
NA04-001_H02N23TB509P-187808_level-0,1749253170.9625647,30442.0,139.7990714535768,0.002432903,0.0017402855518042
NA04-001_H02N23TB509P-187811_level-0,1473299150.5484748,1432502.0,117.74502206943724,0.11448455,0.0972309033168392
NA04-001_H02N23TB509P-187815_level-0,1719085054.4493525,2420724.0,137.3880570012036,0.19346255,0.1408146784100828
NA04-001_H02N23TB509P-187821_level-0,1549490507.8400085,22554104.0,123.8341812483129,1.802508,1.4555819551507716
NA04-001_H02N23TB509P-187826_level-0,2841905821.45896,23188068.0,227.12309549786684,1.853174,0.8159337416187833
NA04-001_H02N23TB509P-187830_level-0,2371899768.911194,55507770.0,189.5605454825467,4.4361415,2.34022405856852
NA04-001_H02N23TB509P-187839_level-0,2195273801.0548563,64545010.0,175.44472353590535,5.1583915,2.940180457819131
